央视频高清1,#genre#
CCTV1,http://cdn.jdshipin.com:8880/yspgq.php?id=cctv1
CCTV2,http://cdn.jdshipin.com:8880/yspgq.php?id=cctv2
CCTV3,http://cdn.jdshipin.com:8880/yspgq.php?id=cctv3
CCTV4,http://cdn.jdshipin.com:8880/yspgq.php?id=cctv4
CCTV5,http://cdn.jdshipin.com:8880/yspgq.php?id=cctv5
CCTV5+,http://cdn.jdshipin.com:8880/yspgq.php?id=cctv5p
CCTV6,http://cdn.jdshipin.com:8880/yspgq.php?id=cctv6
CCTV7,http://cdn.jdshipin.com:8880/yspgq.php?id=cctv7
CCTV8,http://cdn.jdshipin.com:8880/yspgq.php?id=cctv8
CCTV9,http://cdn.jdshipin.com:8880/yspgq.php?id=cctv9
CCTV10,http://cdn.jdshipin.com:8880/yspgq.php?id=cctv10
CCTV11,http://cdn.jdshipin.com:8880/yspgq.php?id=cctv11
CCTV12,http://cdn.jdshipin.com:8880/yspgq.php?id=cctv12
CCTV13,http://cdn.jdshipin.com:8880/yspgq.php?id=cctv13
CCTV14,http://cdn.jdshipin.com:8880/yspgq.php?id=cctv14
CCTV15,http://cdn.jdshipin.com:8880/yspgq.php?id=cctv15
CCTV16,http://cdn.jdshipin.com:8880/yspgq.php?id=cctv16
CCTV17,http://cdn.jdshipin.com:8880/yspgq.php?id=cctv17
CCTV4K,http://cdn.jdshipin.com:8880/yspgq.php?id=cctv4k

央视频高清2,#genre#
CCTV1,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/cctv1.m3u8
CCTV2,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2022203603.m3u8
CCTV3,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2022203803.m3u8
CCTV4,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2022204803.m3u8
CCTV5,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2022205103.m3u8
CCTV5+,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2022204503.m3u8
CCTV6,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2022203303.m3u8
CCTV7,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2022510003.m3u8
CCTV8,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2022203903.m3u8
CCTV9,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2022499403.m3u8
CCTV10,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2022203503.m3u8
CCTV11,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2022204103.m3u8
CCTV12,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2022202603.m3u8
CCTV13,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2022204603.m3u8
CCTV14,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2022204403.m3u8
CCTV15,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2022205003.m3u8
CCTV16,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2012375003.m3u8
CCTV17,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2022204203.m3u8
CCTV4k,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2022266303.m3u8
CCTV风云足球,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2012514203.m3u8
CCTV风云音乐,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2012514103.m3u8
CCTV风云剧场,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2012513603.m3u8
CCTV第一剧场,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2012514403.m3u8
CCTV怀旧剧场,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2012511203.m3u8
CCTV兵器科技,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2012513403.m3u8
CCTV高尔夫网球,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2012512503.m3u8
CCTV世界地理,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2012513303.m3u8
CCTV女性时尚,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2012513903.m3u8
CCTV央视精品,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2012513803.m3u8
CCTV央视台球,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2012513703.m3u8
CCTV电视指南,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2012514003.m3u8
CCTV卫生健康,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2012513502.m3u8
深圳卫视,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2022292203.m3u8
广东卫视,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2022292703.m3u8
浙江卫视,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2022295503.m3u8
湖南卫视,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2022296203.m3u8
东方卫视,http://49.71.78.122/hlslive-cdn.ysp.cctv.cn/001/ysp/2022292403.m3u8
