咪咕频道,#genre#
CCTV-01咪咕,http://go.bkpcp.top/mg/cctv1
CCTV-02咪咕,http://go.bkpcp.top/mg/cctv2
CCTV-03咪咕,http://go.bkpcp.top/mg/cctv3
CCTV-04咪咕,http://go.bkpcp.top/mg/cctv4
CCTV-05咪咕,http://go.bkpcp.top/mg/cctv5
CCTV-5+咪咕,http://go.bkpcp.top/mg/cctv5p
CCTV-06咪咕,http://go.bkpcp.top/mg/cctv6
CCTV-07咪咕,http://go.bkpcp.top/mg/cctv7
CCTV-08咪咕,http://go.bkpcp.top/mg/cctv8
CCTV-09咪咕,http://go.bkpcp.top/mg/cctv9
CCTV-10咪咕,http://go.bkpcp.top/mg/cctv10
CCTV-11咪咕,http://go.bkpcp.top/mg/cctv11
CCTV-12咪咕,http://go.bkpcp.top/mg/cctv12
CCTV-13咪咕,http://go.bkpcp.top/mg/cctv13
CCTV-14咪咕,http://go.bkpcp.top/mg/cctv14
CCTV-15咪咕,http://go.bkpcp.top/mg/cctv15
CCTV-16咪咕,http://go.bkpcp.top/mg/cctv16
CCTV-17咪咕,http://go.bkpcp.top/mg/cctv17
cct4欧洲咪咕,http://go.bkpcp.top/mg/cctv4o
cct4美洲咪咕,http://go.bkpcp.top/mg/cctv4m
CGTN-西咪咕,http://go.bkpcp.top/mg/cgtne
CGTN-阿咪咕,http://go.bkpcp.top/mg/cgtna
CGTN-法咪咕,http://go.bkpcp.top/mg/cgtnf
北京卫视咪咕,http://go.bkpcp.top/mg/bjws
东方卫视咪咕,http://go.bkpcp.top/mg/dfws
浙江卫视咪咕,http://go.bkpcp.top/mg/zjws
江苏卫视咪咕,http://go.bkpcp.top/mg/jsws
湖南卫视咪咕,http://go.bkpcp.top/mg/hunws
广东卫视咪咕,http://go.bkpcp.top/mg/gdws
深圳卫视咪4k,http://go.bkpcp.top/mg/szws
山东卫视咪咕,http://go.bkpcp.top/mg/sdws
河南卫视咪咕,http://go.bkpcp.top/mg/hnws
江西卫视咪咕,http://go.bkpcp.top/mg/jxws
湖北卫视咪咕,http://go.bkpcp.top/mg/hubws
海南卫视咪咕,http://go.bkpcp.top/mg/hinws
陕西卫视咪咕,http://go.bkpcp.top/mg/sxws
兵团卫视咪咕,http://go.bkpcp.top/mg/btws
黑龙江视咪咕,http://go.bkpcp.top/mg/hljws

央视频道,#genre#
CCTV1,http://sky4726.pp.ua:5678/migu.php?id=cctv1
CCTV2,http://sky4726.pp.ua:5678/migu.php?id=cctv2
CCTV3,http://sky4726.pp.ua:5678/migu.php?id=cctv3
CCTV4,http://sky4726.pp.ua:5678/migu.php?id=cctv4
CCTV6,http://sky4726.pp.ua:5678/migu.php?id=cctv6
CCTV7,http://sky4726.pp.ua:5678/migu.php?id=cctv7
CCTV8,http://sky4726.pp.ua:5678/migu.php?id=cctv8
CCTV9,http://sky4726.pp.ua:5678/migu.php?id=cctv9
CCTV10,http://sky4726.pp.ua:5678/migu.php?id=cctv10
CCTV11,http://sky4726.pp.ua:5678/migu.php?id=cctv11
CCTV12,http://sky4726.pp.ua:5678/migu.php?id=cctv12
CCTV13,http://sky4726.pp.ua:5678/migu.php?id=cctv13
CCTV14,http://sky4726.pp.ua:5678/migu.php?id=cctv14
CCTV15,http://sky4726.pp.ua:5678/migu.php?id=cctv15
CCTV17,http://sky4726.pp.ua:5678/migu.php?id=cctv17

卫视频道,#genre#
河南卫视,http://sky4726.pp.ua:5678/migu.php?id=hnws
江苏卫视,http://sky4726.pp.ua:5678/migu.php?id=jsws
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
凤凰资讯,http://sky4726.pp.ua:5678/fhx.php?id=1
凤凰中文,http://sky4726.pp.ua:5678/fhx.php?id=2
